customer_state,品类,件数,件均价
PA,livros_tecnicos,2,74.44
PA,alimentos_bebidas,1,64.6
PA,audio,1,568.0
PA,bebidas,1,105.0
PA,construcao_ferramentas_ferramentas,1,27.0
PA,construcao_ferramentas_iluminacao,1,29.0
PA,construcao_ferramentas_jardim,1,139.9
PA,moveis_cozinha_area_de_servico_jantar_e_jardim,1,48.9
PA,moveis_sala,1,179.99
PA,portateis_cozinha_e_preparadores_de_alimentos,1,979.0
PA,telefonia_fixa,1,577.99
MT,beleza_saude,89,171.26
MT,moveis_decoracao,75,87.59
MT,esporte_lazer,73,105.08
MT,cama_mesa_banho,70,101.79
MT,telefonia,63,49.6
MT,relogios_presentes,61,246.01
MT,informatica_acessorios,55,161.33
MT,automotivo,54,186.8
MT,utilidades_domesticas,52,70.01
MT,ferramentas_jardim,51,153.89
MT,cool_stuff,45,163.19
MT,brinquedos,44,133.12
MT,bebes,33,207.02
MT,perfumaria,30,94.57
MT,papelaria,28,111.18
MT,eletronicos,26,37.91
MT,moveis_escritorio,20,186.04
MT,pet_shop,15,193.75
MT,fashion_bolsas_e_acessorios,13,36.57
MT,未分类,12,86.87
MT,consoles_games,9,147.83
MT,eletrodomesticos,8,127.79
MT,eletroportateis,8,437.86
MT,malas_acessorios,8,142.45
MT,alimentos,7,104.91
MT,casa_construcao,7,155.04
MT,construcao_ferramentas_construcao,7,459.41
MT,instrumentos_musicais,6,636.45
MT,sinalizacao_e_seguranca,6,486.57
MT,climatizacao,5,117.16
MT,livros_tecnicos,5,60.26
MT,market_place,5,132.45
MT,audio,4,167.95
MT,casa_conforto,4,171.95
MT,construcao_ferramentas_seguranca,4,265.9
MT,construcao_ferramentas_iluminacao,3,216.66
MT,fashion_calcados,3,159.5
MT,industria_comercio_e_negocios,3,93.67
MT,moveis_cozinha_area_de_servico_jantar_e_jardim,3,220.0
MT,moveis_sala,3,173.29
MT,agro_industria_e_comercio,2,265.0
MT,eletrodomesticos_2,2,302.94
MT,livros_interesse_geral,2,22.25
